t (us),V (arb.u.)
2.81,0.42346
2.82,0.42603
2.83,0.45738
2.84,0.48977
2.85,0.45179
2.86,0.47088
2.87,0.43724
2.88,0.41675
2.89,0.42299
2.9,0.43638
2.91,0.4157
2.92,0.41239
2.93,0.43189
2.94,0.42387
2.95,0.42705
2.96,0.45137
2.97,0.45818
2.98,0.46364
2.99,0.4251
3,0.3698
3.01,0.44625
3.02,0.42984
3.03,0.39777
3.04,0.43382
3.05,0.41093
3.06,0.43948
3.07,0.4098
3.08,0.44977
3.09,0.44157
3.1,0.41752
3.11,0.41447
3.12,0.40601
3.13,0.45707
3.14,0.42921
3.15,0.41958
3.16,0.40974
3.17,0.45796
3.18,0.44779
3.19,0.43658
3.2,0.41842
